     TotalZoneNumber           NParticle        CumulativeNP     CumulativeRatio
                 256              100000        7.431793e+06        7.431793e+01
                 257              100000        7.442225e+06        7.442225e+01
                 258              100000        7.452627e+06        7.452627e+01
                 259              100000        7.462999e+06        7.462999e+01
                 260              100000        7.473340e+06        7.473340e+01
                 261              100000        7.483651e+06        7.483651e+01
                 262              100000        7.493933e+06        7.493933e+01
                 263              100000        7.504185e+06        7.504185e+01
                 264              100000        7.514408e+06        7.514408e+01
                 265              100000        7.524601e+06        7.524601e+01
                 266              100000        7.534766e+06        7.534766e+01
                 267              100000        7.544902e+06        7.544902e+01
                 268              100000        7.555009e+06        7.555009e+01
                 269              100000        7.565088e+06        7.565088e+01
                 270              100000        7.575139e+06        7.575139e+01
                 271              100000        7.585161e+06        7.585161e+01
                 272              100000        7.595156e+06        7.595156e+01
                 273              100000        7.605123e+06        7.605123e+01
                 274              100000        7.615062e+06        7.615062e+01
                 275              100000        7.624975e+06        7.624975e+01
                 276              100000        7.634860e+06        7.634860e+01
                 277              100000        7.644718e+06        7.644718e+01
                 278              100000        7.654549e+06        7.654549e+01
                 279              100000        7.664353e+06        7.664353e+01
                 280              100000        7.674132e+06        7.674132e+01
                 281              100000        7.683883e+06        7.683883e+01
                 282              100000        7.693609e+06        7.693609e+01
                 283              100000        7.703308e+06        7.703308e+01
                 284              100000        7.712982e+06        7.712982e+01
                 285              100000        7.722630e+06        7.722630e+01
                 286              100000        7.732253e+06        7.732253e+01
                 287              100000        7.741850e+06        7.741850e+01
                 288              100000        7.751422e+06        7.751422e+01
                 289              100000        7.760969e+06        7.760969e+01
                 290              100000        7.770491e+06        7.770491e+01
                 291              100000        7.779988e+06        7.779988e+01
                 292              100000        7.789461e+06        7.789461e+01
                 293              100000        7.798909e+06        7.798909e+01
                 294              100000        7.808333e+06        7.808333e+01
                 295              100000        7.817733e+06        7.817733e+01
                 296              100000        7.827109e+06        7.827109e+01
                 297              100000        7.836460e+06        7.836460e+01
                 298              100000        7.845789e+06        7.845789e+01
                 299              100000        7.855093e+06        7.855093e+01
                 300              100000        7.864374e+06        7.864374e+01
                 301              100000        7.873632e+06        7.873632e+01
                 302              100000        7.882866e+06        7.882866e+01
                 303              100000        7.892077e+06        7.892077e+01
                 304              100000        7.901266e+06        7.901266e+01
                 305              100000        7.910432e+06        7.910432e+01
                 306              100000        7.919575e+06        7.919575e+01
                 307              100000        7.928695e+06        7.928695e+01
                 308              100000        7.937793e+06        7.937793e+01
                 309              100000        7.946869e+06        7.946869e+01
                 310              100000        7.955922e+06        7.955922e+01
                 311              100000        7.964954e+06        7.964954e+01
                 312              100000        7.973964e+06        7.973964e+01
                 313              100000        7.982951e+06        7.982951e+01
                 314              100000        7.991918e+06        7.991918e+01
                 315              100000        8.000862e+06        8.000862e+01
                 316              100000        8.009785e+06        8.009785e+01
                 317              100000        8.018687e+06        8.018687e+01
                 318              100000        8.027568e+06        8.027568e+01
                 319              100000        8.036428e+06        8.036428e+01
                 320              100000        8.045266e+06        8.045266e+01
                 321              100000        8.054084e+06        8.054084e+01
                 322              100000        8.062881e+06        8.062881e+01
                 323              100000        8.071658e+06        8.071658e+01
                 324              100000        8.080414e+06        8.080414e+01
                 325              100000        8.089149e+06        8.089149e+01
                 326              100000        8.097864e+06        8.097864e+01
                 327              100000        8.106560e+06        8.106560e+01
                 328              100000        8.115235e+06        8.115235e+01
                 329              100000        8.123890e+06        8.123890e+01
                 330              100000        8.132525e+06        8.132525e+01
                 331              100000        8.141140e+06        8.141140e+01
                 332              100000        8.149736e+06        8.149736e+01
                 333              100000        8.158312e+06        8.158312e+01
                 334              100000        8.166869e+06        8.166869e+01
                 335              100000        8.175406e+06        8.175406e+01
                 336              100000        8.183925e+06        8.183925e+01
                 337              100000        8.192424e+06        8.192424e+01
                 338              100000        8.200904e+06        8.200904e+01
                 339              100000        8.209365e+06        8.209365e+01
                 340              100000        8.217807e+06        8.217807e+01
                 341              100000        8.226230e+06        8.226230e+01
                 342              100000        8.234635e+06        8.234635e+01
                 343              100000        8.243021e+06        8.243021e+01
                 344              100000        8.251389e+06        8.251389e+01
                 345              100000        8.259739e+06        8.259739e+01
                 346              100000        8.268070e+06        8.268070e+01
                 347              100000        8.276383e+06        8.276383e+01
                 348              100000        8.284678e+06        8.284678e+01
                 349              100000        8.292954e+06        8.292954e+01
                 350              100000        8.301213e+06        8.301213e+01
                 351              100000        8.309455e+06        8.309455e+01
                 352              100000        8.317678e+06        8.317678e+01
                 353              100000        8.325884e+06        8.325884e+01
                 354              100000        8.334072e+06        8.334072e+01
                 355              100000        8.342242e+06        8.342242e+01
                 356              100000        8.350396e+06        8.350396e+01
                 357              100000        8.358532e+06        8.358532e+01
                 358              100000        8.366651e+06        8.366651e+01
                 359              100000        8.374752e+06        8.374752e+01
                 360              100000        8.382837e+06        8.382837e+01
                 361              100000        8.390904e+06        8.390904e+01
                 362              100000        8.398955e+06        8.398955e+01
                 363              100000        8.406989e+06        8.406989e+01
                 364              100000        8.415006e+06        8.415006e+01
                 365              100000        8.423007e+06        8.423007e+01
                 366              100000        8.430991e+06        8.430991e+01
                 367              100000        8.438958e+06        8.438958e+01
                 368              100000        8.446909e+06        8.446909e+01
                 369              100000        8.454844e+06        8.454844e+01
                 370              100000        8.462763e+06        8.462763e+01
                 371              100000        8.470665e+06        8.470665e+01
                 372              100000        8.478551e+06        8.478551e+01
                 373              100000        8.486422e+06        8.486422e+01
                 374              100000        8.494276e+06        8.494276e+01
                 375              100000        8.502114e+06        8.502114e+01
                 376              100000        8.509937e+06        8.509937e+01
                 377              100000        8.517744e+06        8.517744e+01
                 378              100000        8.525535e+06        8.525535e+01
                 379              100000        8.533311e+06        8.533311e+01
                 380              100000        8.541071e+06        8.541071e+01
                 381              100000        8.548816e+06        8.548816e+01
                 382              100000        8.556545e+06        8.556545e+01
                 383              100000        8.564259e+06        8.564259e+01
                 384              100000        8.571958e+06        8.571958e+01
                 385              100000        8.579641e+06        8.579641e+01
                 386              100000        8.587310e+06        8.587310e+01
                 387              100000        8.594964e+06        8.594964e+01
                 388              100000        8.602602e+06        8.602602e+01
                 389              100000        8.610226e+06        8.610226e+01
                 390              100000        8.617835e+06        8.617835e+01
                 391              100000        8.625429e+06        8.625429e+01
                 392              100000        8.633008e+06        8.633008e+01
                 393              100000        8.640573e+06        8.640573e+01
                 394              100000        8.648124e+06        8.648124e+01
                 395              100000        8.655659e+06        8.655659e+01
                 396              100000        8.663181e+06        8.663181e+01
                 397              100000        8.670688e+06        8.670688e+01
                 398              100000        8.678181e+06        8.678181e+01
                 399              100000        8.685659e+06        8.685659e+01
                 400              100000        8.693123e+06        8.693123e+01
